date,time,ms
15-6-2020,11:33:52,9.492
15-6-2020,11:33:53,9.567
15-6-2020,11:33:54,9.339
15-6-2020,11:33:55,9.93
15-6-2020,11:33:56,10.343
15-6-2020,11:33:57,9.529
15-6-2020,11:33:58,9.748
15-6-2020,11:33:59,9.679
15-6-2020,11:34:00,10.236
15-6-2020,11:34:01,9.305
15-6-2020,11:34:02,9.822
15-6-2020,11:34:03,9.38
15-6-2020,11:34:04,10.414
15-6-2020,11:34:05,9.322
15-6-2020,11:34:06,13.592
15-6-2020,11:34:07,11.874
15-6-2020,11:34:08,9.532
15-6-2020,11:34:09,11.859
15-6-2020,11:34:10,9.769
15-6-2020,11:34:11,9.335
15-6-2020,11:34:12,9.461
15-6-2020,11:34:13,9.765
15-6-2020,11:34:14,11.857
15-6-2020,11:34:15,10.442
15-6-2020,11:34:16,11.199
15-6-2020,11:34:17,11.089
15-6-2020,11:34:18,10.198
15-6-2020,11:34:19,9.73
15-6-2020,11:34:20,10.223
15-6-2020,11:34:21,10.961
15-6-2020,11:34:22,10.671
15-6-2020,11:34:23,9.854
15-6-2020,11:34:24,11.354
15-6-2020,11:34:25,9.525
15-6-2020,11:34:26,9.477
15-6-2020,11:34:27,9.733
15-6-2020,11:34:28,13.174
15-6-2020,11:34:29,10.725
15-6-2020,11:34:30,10.13
15-6-2020,11:34:31,9.978
15-6-2020,11:34:32,10.002
15-6-2020,11:34:33,9.401
15-6-2020,11:34:34,9.837
15-6-2020,11:34:35,9.51
15-6-2020,11:34:36,10.675
15-6-2020,11:34:37,9.678
15-6-2020,11:34:38,9.919
15-6-2020,11:34:39,13.767
15-6-2020,11:34:40,14.108
15-6-2020,11:34:41,9.488
15-6-2020,11:34:42,9.651
15-6-2020,11:34:43,13.827
15-6-2020,11:34:44,11.989
15-6-2020,11:34:45,10.084
15-6-2020,11:34:46,10.117
15-6-2020,11:34:47,10.782
15-6-2020,11:34:48,10.041
15-6-2020,11:34:49,10.054
15-6-2020,11:34:50,10.538
15-6-2020,11:34:51,9.39
15-6-2020,11:34:52,9.634
15-6-2020,11:34:53,10.62
15-6-2020,11:34:54,9.64
15-6-2020,11:34:55,10.335
15-6-2020,11:34:56,9.751
15-6-2020,11:34:57,9.796
15-6-2020,11:34:58,10.474
15-6-2020,11:34:59,9.712
15-6-2020,11:35:00,10.776
15-6-2020,11:35:01,10.34
15-6-2020,11:35:02,11.801
15-6-2020,11:35:03,10.225
15-6-2020,11:35:04,10.818
15-6-2020,11:35:05,10.014
15-6-2020,11:35:06,9.537
15-6-2020,11:35:07,9.502
15-6-2020,11:35:08,10.677
15-6-2020,11:35:09,9.645
15-6-2020,11:35:10,9.592
15-6-2020,11:35:11,9.835
15-6-2020,11:35:12,9.511
15-6-2020,11:35:13,10.912
15-6-2020,11:35:14,9.883
15-6-2020,11:35:15,9.848
15-6-2020,11:35:16,10.48
15-6-2020,11:35:17,10.55
15-6-2020,11:35:18,10.471
15-6-2020,11:35:19,9.511
15-6-2020,11:35:20,10.413
15-6-2020,11:35:21,10.716
15-6-2020,11:35:22,10.248
15-6-2020,11:35:23,10.238
15-6-2020,11:35:24,10.251
15-6-2020,11:35:25,11.721
15-6-2020,11:35:26,11.615
15-6-2020,11:35:27,10.908
15-6-2020,11:35:28,9.442
15-6-2020,11:35:29,9.732
15-6-2020,11:35:30,9.432
15-6-2020,11:35:31,10.129
15-6-2020,11:35:32,9.753
15-6-2020,11:35:33,10.694
15-6-2020,11:35:34,10.011
15-6-2020,11:35:35,10.689
15-6-2020,11:35:36,9.908
15-6-2020,11:35:37,9.924
15-6-2020,11:35:38,10.454
15-6-2020,11:35:39,9.71
15-6-2020,11:35:40,9.557
15-6-2020,11:35:41,9.459
15-6-2020,11:35:42,9.531
15-6-2020,11:35:43,10.308
15-6-2020,11:35:44,10.682
15-6-2020,11:35:45,10.968
15-6-2020,11:35:46,11.48
15-6-2020,11:35:47,10.23
15-6-2020,11:35:48,9.551
15-6-2020,11:35:49,9.861
15-6-2020,11:35:50,9.926
15-6-2020,11:35:51,9.362
15-6-2020,11:35:52,10.083
15-6-2020,11:35:53,9.326
15-6-2020,11:35:54,9.732
15-6-2020,11:35:55,9.501
15-6-2020,11:35:56,9.668
15-6-2020,11:35:57,11.505
15-6-2020,11:35:58,10.753
15-6-2020,11:35:59,10.408
15-6-2020,11:36:00,9.772
15-6-2020,11:36:02,10.69
15-6-2020,11:36:03,9.378
15-6-2020,11:36:04,13.607
15-6-2020,11:36:05,10.418
15-6-2020,11:36:06,10.631
15-6-2020,11:36:07,11.138
15-6-2020,11:36:08,11.785
15-6-2020,11:36:09,9.7
15-6-2020,11:36:10,10.341
15-6-2020,11:36:11,10.02
15-6-2020,11:36:12,9.683
15-6-2020,11:36:13,9.366
15-6-2020,11:36:14,9.559
15-6-2020,11:36:15,11.173
15-6-2020,11:36:16,9.328
15-6-2020,11:36:17,9.922
15-6-2020,11:36:18,10.513
15-6-2020,11:36:19,10.311
15-6-2020,11:36:20,9.809
15-6-2020,11:36:21,9.224
15-6-2020,11:36:22,9.472
15-6-2020,11:36:23,9.532
15-6-2020,11:36:24,9.938
15-6-2020,11:36:25,9.835
15-6-2020,11:36:26,10.046
15-6-2020,11:36:27,9.375
15-6-2020,11:36:28,10.582
15-6-2020,11:36:29,10.116
15-6-2020,11:36:30,10.413
15-6-2020,11:36:31,9.762
15-6-2020,11:36:32,10.824
15-6-2020,11:36:33,9.614
15-6-2020,11:36:34,9.951
15-6-2020,11:36:35,10.368
15-6-2020,11:36:36,9.567
15-6-2020,11:36:37,8.984
15-6-2020,11:36:38,10.02
15-6-2020,11:36:39,9.793
15-6-2020,11:36:40,9.607
15-6-2020,11:36:41,11.669
15-6-2020,11:36:42,9.457
15-6-2020,11:36:43,10.017
15-6-2020,11:36:44,9.127
15-6-2020,11:36:45,9.358
15-6-2020,11:36:46,9.636
15-6-2020,11:36:47,10.267
15-6-2020,11:36:48,10.225
15-6-2020,11:36:49,10.656
15-6-2020,11:36:50,9.574
15-6-2020,11:36:51,10.97
15-6-2020,11:36:52,13.297
15-6-2020,11:36:53,11.528
