date,time,ms
15-6-2020,11:27:54,2.264
15-6-2020,11:27:55,2.236
15-6-2020,11:27:56,2.542
15-6-2020,11:27:57,2.225
15-6-2020,11:27:58,2.464
15-6-2020,11:27:59,3.173
15-6-2020,11:28:00,2.924
15-6-2020,11:28:01,3.005
15-6-2020,11:28:02,2.711
15-6-2020,11:28:03,2.995
15-6-2020,11:28:04,2.685
15-6-2020,11:28:05,5.531
15-6-2020,11:28:06,5.514
15-6-2020,11:28:07,2.498
15-6-2020,11:28:08,2.393
15-6-2020,11:28:09,2.279
15-6-2020,11:28:10,2.525
15-6-2020,11:28:11,2.945
15-6-2020,11:28:12,2.438
15-6-2020,11:28:13,2.814
15-6-2020,11:28:14,3.49
15-6-2020,11:28:15,3.967
15-6-2020,11:28:16,2.774
15-6-2020,11:28:17,2.524
15-6-2020,11:28:18,2.233
15-6-2020,11:28:19,2.366
15-6-2020,11:28:20,2.227
15-6-2020,11:28:21,2.836
15-6-2020,11:28:22,2.368
15-6-2020,11:28:23,4.158
15-6-2020,11:28:24,4.631
15-6-2020,11:28:25,3.308
15-6-2020,11:28:26,2.348
15-6-2020,11:28:27,2.681
15-6-2020,11:28:28,2.874
15-6-2020,11:28:29,4.93
15-6-2020,11:28:30,3.679
15-6-2020,11:28:31,3.271
15-6-2020,11:28:32,2.979
15-6-2020,11:28:33,3.066
15-6-2020,11:28:34,2.923
15-6-2020,11:28:35,3.574
15-6-2020,11:28:36,2.842
15-6-2020,11:28:37,3.889
15-6-2020,11:28:38,3.006
15-6-2020,11:28:39,4.247
15-6-2020,11:28:40,2.717
15-6-2020,11:28:41,3.062
15-6-2020,11:28:42,3.633
15-6-2020,11:28:43,8.186
15-6-2020,11:28:44,3.34
15-6-2020,11:28:45,2.788
15-6-2020,11:28:46,3.573
15-6-2020,11:28:47,3.874
15-6-2020,11:28:48,2.652
15-6-2020,11:28:49,2.265
15-6-2020,11:28:50,3.231
15-6-2020,11:28:51,3.089
15-6-2020,11:28:52,2.431
15-6-2020,11:28:53,3.164
15-6-2020,11:28:54,2.92
15-6-2020,11:28:55,3.212
15-6-2020,11:28:56,2.95
